type,headline
company_guidance,"agilent sees q4 adj. eps $0.60-$0.62 vs $0.60 est., sales $1.15b-$1.17b vs $1.15b est.; fy17 adj. eps $2.29-$2.31 vs $2.23 est., sales $4.435b-$4.455b vs $4.41b est."
company_guidance,"agilent sees q4 sales $1.03b-$1.05b vs $1.06b est., adj. eps $0.45-$0.49 vs $0.50 est."
company_guidance,agilent tech guides fy eps $3.18-3.24 vs $3.19 est; guides fy revenue $6.94-7b vs $6.95b est; guides q3 eps $0.82-0.84 vs $0.84 est; guides q3 revenue $1.77-1.79b vs $1.76b est
company_guidance,agilent technologies falls on q4 revenue miss
company_guidance,agilent technologies guides fy2012 eps $3.00-$3.35 vs $3.13 est; q1 eps $0.67-$0.69 vs $0.70 est
company_guidance,agilent technologies guides fy2012 revenues $6.85b-$7.15b vs $6.98b est; q1 revs $1.65b-$1.67b vs $1.66b est
company_guidance,agilent technologies raised guidance (a)
company_guidance,"agilent technologies reaffirms fy2018 eps ~$2.65 vs $2.70 est., core sales growth 5.5%"
company_guidance,"agilent technologies sees fy17 rev. $4.35b-$4.37b vs. est. $4.35b, eps $2.10-$2.16 vs. est. $2.19; q4 rev. $1.04-$1.04b vs. est. $1.08b, eps $0.48-$0.50 vs. est. $0.53"
company_guidance,"agilent technologies sees q3 adj. eps $0.71-$0.73 vs $0.73 est., sales $1.225b-$1.245b vs $1.27b est. sees fy19 adj. eps $3.03-$3.07 vs $3.07 est., sales $5.085b-$5.125b vs $5.19b est."
company_guidance,agilent technologies sees q3 eps $0.61-0.63 vs $0.65 est; sees sales $1.19b-1.21b vs $1.21b est
company_guidance,"agilent technologies sees q4 adj. eps $0.84-$0.86 vs $0.87 est., sales $1.31b-$1.33b vs $1.34b est., sees fy19 adj. eps $3.07-$3.08 vs $3.05 est., sales $5.105b-$5.125b vs $5.11b est."
company_guidance,"agilent technologies, inc. lowers fy2013 eps guidance from $2.80-3.10 to $2.70-3.00 vs $3.04 est; lowers fy2013 sales guidance from $7.0b-7.20b to $6.90b-7.10b vs $7.12b est"
company_guidance,"agilent technologies, inc. lowers fy2014 eps guidance from $3.03-3.33 to $2.96-3.16 vs $3.19 est; lowers fy2014 sales guidance from $6.95b-7.15b to $6.90b-7.10b vs $7.04b est"
company_guidance,"agilent technologies, inc. narrows fy2014 eps guidance from $2.96-3.16 to $3.04-3.08 vs $3.07 est; narrows fy2014 sales guidance from $6.90b-7.10b to $6.99b-7.03b vs $6.99b est"
company_guidance,"agilent technologies, inc. sees fy2013 eps $2.70-2.85 vs $2.88 est; sees sales $6.75b-6.85b vs $7.0b est"
company_guidance,"agilent technologies, inc. sees fy2014 eps $2.96-3.16 vs $3.08 est; sees sales $6.90b-7.10b vs $6.98b est"
company_guidance,"agilent technologies, inc. sees fy2014 eps $3.03-3.33 vs $3.17 est; sees sales $6.95b-7.15b vs $7.04b est"
company_guidance,"agilent technologies, inc. sees fy2015 eps $1.68-1.78 vs $1.74 est; sees sales $4.12b-4.18b vs $4.17b est"
company_guidance,"agilent technologies, inc. sees q1 eps $0.39-0.43 vs $0.42 est; sees sales $1.02b-1.04b vs $1.02b est"
company_guidance,"agilent technologies, inc. sees q1 eps $0.65-0.67 vs $0.73 est; sees sales $1.68b-1.70b vs $1.72b est"
company_guidance,"agilent technologies, inc. sees q2 eps $0.60-0.64 vs $0.74 est; sees sales $1.63b-1.66b vs $1.75b est"
company_guidance,"agilent technologies, inc. sees q3 eps $0.72-0.74 vs $0.79 est; sees sales $1.74b-1.76b vs $1.74b est"
company_guidance,"agilent technologies, inc. sees q4 eps $0.75-0.77 vs $0.76 est; sees sales $1.70b-1.72b vs $1.73b est"
redundant_meaningless,agilent technologies' latest goldengate rfic simulation software raises the bar on performance and usability
company_guidance,agilent's guidance 'still feels conservative' to wells fargo
company_guidance,agilysys cuts fy18 sales guidance from $136m-$140m to $130m-$134m vs $138m est.
company_guidance,agilysys expects fy 2011 revenue of $676m
company_guidance,agilysys guides fy eps $0.16-0.21 vs $0.20 1 est; guides fy revenue $208-211m
earnings,"agilysys q3 eps -$0.07 vs -$0.09 est, revenue $31.3m vs $25.8m est, sees fy 2016 rev $117m to $119m vs $111m est"
company_guidance,agilysys raises fy20 sales growth guidance to ~14% year over year
company_guidance,agilysys reaffirms fy19 sales growth guidance ~10% year over year
company_guidance,"agilysys reaffirms fy19 sales growth guidance of ~10%, adj. earnings $3.5m-$4.5m"
company_guidance,agilysys sees fy18 sales growth ~7-10%; sees q4 adj. earnings from operations positive
company_guidance,"agilysys sees fy20 sales growth ~11% year over year, adj. ebitda growth ~25%"
company_guidance,"agilysys, inc. raises fy2013 eps guidance from $0.16-0.21 to $0.24-0.26 vs $0.20 est; raises fy2013 sales guidance from $208.0m-211.0m to $230.0m-232.0m vs $212.0m est"
company_guidance,agios reiterates 2020 tibsovo net us revenue guidance of $105m–$115m
company_guidance,agirum sees fy17 eps $4.50-$6 vs $5.45 est.
company_guidance,"agl resources cuts fy12 outlook, sees eps $2.45"
company_guidance,agl resources raises fy15 outlook
company_guidance,"agl resources sees 2015 adj eps $2.70-$2.80, no estimates"
company_guidance,"agl resources, inc. sees fy2013 eps $2.40-2.50"
company_guidance,"agl resources, inc. sees fy2013 eps near high end of $2.50-2.70"
company_guidance,"agl resources, inc. sees fy2014 eps $2.60-2.70"
company_guidance,"agl resources, inc. sees fy2014 eps $2.70-2.80 vs $2.92 est"
earnings,"agn posts solid q4 results, guidance conservative"
company_guidance,agnico eagle mines raises fy17 gold production guidance from ~1.58m oz to ~1.60m oz
company_guidance,agnico eagle mines raises fy17 production outlook
company_guidance,agree affirms fy17 disposition guidance $30m-$50m
company_guidance,agree realty boosts acquisition guidance to $250-$275 million
company_guidance,agree realty corp. gives fy16 acquisition guidance of $175-$200m of retail net lease properties
company_guidance,agree realty increases fy18 acquisition guidance from $250m-$300m to $350m-$400m
company_guidance,agree realty raises fy acquisition guidance from $350m-$400m to $450m-$500m
company_guidance,agree realty raises fy16 acquisition guidance to $250m-$275m
company_guidance,agree realty raises fy17 acquisition volume guidance
company_guidance,agree realty raises fy17 outlook
company_guidance,"agree realty raises fy18 acquisition guidance from $350m-$400m as of jul. 23, 2018 to $425m-$475m"
company_guidance,"agree realty raises fy19 acquisition guidance to $625m-$675m, disposition guidance $50m-$75m"
company_guidance,"agree realty sees 2017 acquisition volume $250m-$275m, disposition guidance $30m-$50m"
analyst_action,"agrium downgraded to sell, but clsa raises price target"
company_guidance,agrium expecting q3 eps from cont. ops. $0.45-$0.55 vs $0.68 est.
redundant_meaningless,agrium expects to be near top end of guidance range
company_guidance,agrium exprects q4 2013 diluted eps to be at bottom of previously released guidance range of $0.80-$1.25
company_guidance,agrium inc. sees q1 eps $0.00 which may not compare $0.53 est
company_guidance,agrium inc. sees q2 eps $4.60-5.40 vs $5.33 est
company_guidance,agrium inc. sees q2 gaap eps $3.85-4.35 which may not compare $4.98 est
company_guidance,agrium inc. sees q4 eps $0.45-0.75 vs $0.75 est
company_guidance,agrium inc. sees q4 eps $1.00-1.45
company_guidance,agrium increases eps estimate for second quarter
company_guidance,agrium increases q2 eps guidance: $4.10-4.40 vs. $3.38-3.88 prior
company_guidance,agrium narrows fy17 outlook: eps from $4.50-$6 to $4.75-$5.75 vs $5.35 est.
corporate_action,agrium raises offer on cf industries
company_guidance,agrium sees fy15 eps $7-$7.50 vs $7.42 est.
company_guidance,agrium sees fy16 eps $5-$5.30 vs $5.45 est.
company_guidance,agrium sees fy16 eps $5.25-$6.25 vs $6.05 est.
company_guidance,"agrium sees q4 earnings slightly above $2/share, had seen $1.50-1.90 vs $1.71 est"
company_guidance,ah belo guides q3 revenue $108-109m
earnings,"ah belo q1 eps ($0.03), revenue $62.48m, no ests"
earnings,"ah belo q4 adj eps $0.08, revenue $66.1m, no estimates"
company_guidance,"ahead of co.'s analyst, investor meeting, mattress firm affirms fy eps outlook"
company_guidance,"ahead of groupon's investor day: expecting fy15 sales growth over 15%, up over 20% by '17"
company_guidance,"ahead of hertz investor day: sees fy15 adj. eps $3.10-3.30, sales growth 12.5-13.5%"
company_guidance,ahead of humana's investor day: reaffirms fy2015 eps guidance of $8.50-9.00 vs $8.86 est
company_guidance,"ahead of jp morgan smid cap conference, slides from jarden presentation show co. targeting lt organic sales growth 3-5%"
company_guidance,"ahead of presentation at ipaa ogis ny conference, pdc energy affirms fy sales, adj. eps outlook"
company_guidance,"ahead of williams capital midwest utilities seminar, pepco affirms fy adj. eps outlook"
earnings,"ahl eps beats expectations, revenue growth weak"
corporate_action,aig raises $8.7 billion in share offering
earnings,aig releases adjusted eps of $1.65
company_guidance,aimco narrows fy15 affo guidance from $1.83-$1.93 to $1.87-$1.91
company_guidance,"aimco reaffirms guidance for pro forma ffo/share for q2, fy 2014"
company_guidance,air methods corporation sees q3 eps $0.83-0.87 vs $1.09 est
company_guidance,air methods corporation sees q4 eps $0.31-0.33 which may not compare $0.61 est
company_guidance,air methods guides q2 eps 25% below q2 2010
company_guidance,air methods guides q2 eps down 25%; prelim maintenance expenses up 30%
company_guidance,"air methods sees q1 eps from continuing operations $0.51-$0.53 vs $0.35 est., sales ~$270m vs $271.4m est."
company_guidance,air methods sees q2 eps of $2.30-2.40
company_guidance,"air methods sees q2 rev. $293m vs. est. $312.2m, eps $0.69-$0.71 vs. est. $0.90"
company_guidance,"air transport services group raises fy 2015 ebitda $196m-$200m, had seen $190m-$195m"
corporate_action,airbnb raises another $1b in second funding in a week as pandemic hurts business
redundant_meaningless,airline stock roundup: alaska air group lifts casm view; gol linhas guides up
redundant_meaningless,"airline stocks lower on delta airlines q2 guidance cut; ha -0.7%, luv -0.8%, aal -2%, ual -1.4%, alk -1.1%, save -1.6%"
redundant_meaningless,"airline stocks moving higher amid jun. results, guidance from american air"
redundant_meaningless,airline stocks trading lower sector-wide after delta airlines forecasted a lower revenue growth outlook.
redundant_meaningless,airliners to head higher in the face of bearish sentiment view around revenue environment according to morgan stanley survey
company_guidance,ait raises fy18 guidance from $3.10-$3.20 to $3.40-$3.50 vs $3.34 est.
company_guidance,ak steel guides and drops pre-market (aks)
company_guidance,ak steel guides q3 eps loss of $0.60-0.65
company_guidance,"ak steel holding corporation sees q1 eps $(0.44)-(0.49), including charge for a tentative legal settlement, sees shipments 1.25-1.275m tons"
company_guidance,"ak steel holding corporation sees q3 eps $(0.22)-(0.27) vs $(0.11) est, sees shipments 1.24-1.26m tons"
company_guidance,"ak steel holding corporation sees q4 eps $0.02-0.06 vs $(0.03) est, sees shipments 1.4m tons"
company_guidance,ak steel holding sees q4 eps $0.05-0.10 vs $0.04 est
company_guidance,ak steel provides second quarter 2012 guidance and update on progress of strategic investments; expects $0.04-0.06 vs $0.11 est
earnings,"ak steel q3 $0.21 vs $0.13 est, revenue $1.45b vs $1.47b est"
company_guidance,"ak steel raises base prices for stainless steel products by $40/ton, non-auto grade increased from $100 to $300/ton"
company_guidance,ak steel raises current spot market base prices for all carbon flat-rolled steel products by minimum of $40/ton
company_guidance,ak steel raises price for carbon steel products by minimum of $20/ton
company_guidance,ak steel raises prices for carbon steel products by min. of $40/ton
company_guidance,ak steel raises prices for hot roll carbon steel to $660/ton
company_guidance,ak steel raises stainless steel prices by $0.02/lb
company_guidance,"ak steel sees fy19 adj. eps $0.37-$0.44 vs $0.34 estimate, adj. ebitda $470m-$490m"
company_guidance,"ak steel sees fy19 adj. eps $0.48-$0.54 vs $0.47 estimate, adj. ebitda $505m-$525m"
company_guidance,"ak steel sees fy19 eps $0.51-$0.57 vs $0.67 estimate, adj. ebitda $515m-$535m"
company_guidance,ak steel sees q4 eps ($0.38)-($0.33)
redundant_meaningless,ak steel slashes 3q guidance - analyst blog
company_guidance,"akorn guides fy eps $0.50-0.52, had seen $0.44-0.46; guides fy revenue $248-258m, had seen $228-238m"
company_guidance,"akorn q4 eps $0.27 vs $0.43 est, revenue $279.98m vs $222.64m est"
company_guidance,"akorn q4 eps $0.50 vs $0.45 est, revenue $227.8m vs $219m est"
company_guidance,"akorn reaffirms fy12 outlook; sees fy13 sales $325-335m vs $330m est, eps $0.57-0.61 vs $0.66 est"
company_guidance,"akorn reiterates 2015 revenue between $960-$980m, adj. eps $1.88-$1.98"
company_guidance,akorn sees 2012 adjusted eps of $0.42 – 0.45 vs $0.45 est; revenues $210–220m vs $221.13m est
company_guidance,"akorn sees fy16 eps $2.10-$2.20 vs. est. $2.27, rev. $1.06-$1.08b vs. est. $1.09b"
company_guidance,"akorn sees fy16 rev. $1.06-$1.08b vs. est. $1.08b, eps $2.10-$2.20 vs. est. $2.15"
company_guidance,"akorn sees fy17 adj. eps $1.53-$1.72, adj. ebitda $363m-$401m"
company_guidance,"akorn, inc. raises fy2014 eps guidance from $0.76-0.79 to $0.79-0.82 vs $0.82 est"
company_guidance,"akorn, inc. sees q3 eps $0.27 vs $0.25 est; sees sales $132.70m"
company_guidance,"akorn, inc. sees q4 eps $0.44-0.46 vs $0.38 est; sees sales $215.0m-225.0m"
corporate_action,"akzonobel to announce new strategy, updated financial guidance at investor update on april 19, 2017"
company_guidance,alaska air 8-k cuts q2 capacity guidance from 16.98m-17.03m to 16.975m-16.995m; sees fy19 capacity 66.59m-66.79m
redundant_meaningless,alaska air april revenue passenger miles up 0.4% yoy
company_guidance,alaska air group sees q2 revenue per asm $0.1326-$0.1345
company_guidance,alaska air group sees q3 revenue per asm $0.1345-$0.1369; sees economic fuel cost per gallon of $2.15
company_guidance,"alaska air narrows q3 revenue per asm growth guidance from 3-5% to ~4.4%, cost per asm ex items from ~5% to ~3.4%"
redundant_meaningless,alaska air november revenue passenger miles down 1.2% yoy
corporate_action,"alaska air pilots ratify five-year contract, raises pay by almost 20%"
earnings,"alaska air q1 eps $1.12 vs $1.10 est, revenue $1.27b vs $1.27b est"
earnings,"alaska air q1 eps $1.45 vs $1.42 est, revenue $1.35b vs $1.35b est"
earnings,"alaska air q3 eps $2.16 vs $2.10 est, revenue $1.52b vs $1.52b est"
earnings,"alaska air q4 eps $1.56 vs $1.40 est, revenue $1.52b vs $1.44b est"
company_guidance,"alaska air sees q1 passenger revenue per asm $0.1026-$0.1031, revenue per asm $0.1210-$0.1215, cost per asm $0.0837-$0.0842"
company_guidance,alaska communications cuts fy17 adj. ebitda guidance from $59m-$61m to $56m-$59m
company_guidance,alaska communications sees fy19 sales guidance of $230m - $235m
company_guidance,alaska communications systems sees fy17 total wireline revenue $229m-$235m
corporate_action,"alaskan volcano raises usgs alert, causes dozens of flight cancellations affecting tens of thousands"
company_guidance,albany int'l sees aec fy15 sales growth 5-10%
company_guidance,"albany molecular research, inc. raises fy2013 eps guidance from $0.54-0.65 to $0.60-0.67 vs $0.64 est"
company_guidance,"albany molecular research, inc. sees fy2014 eps $0.72-0.80 vs $0.69 est"
company_guidance,"albany molecular research, inc. sees fy2014 eps $0.87-0.92 vs $0.92 est"
company_guidance,"albany molecular research, inc. sees q3 eps $0.09-0.12 vs $0.10 est, sees sales $51.0m-53.0m vs $57.50m est; narrows fy13 adj. eps from $0.52-0.65 to $0.54-0.65, sales from $205-213m to $209-213m"
company_guidance,"albany molecular sees fy16 adj. eps $1-$1.10 vs $1.10 est., sales $465m-$490m vs $508.6m est."
company_guidance,albany raises fy19 adj. eps guidance from $3.05-$3.35 to $3.75-$3.95
company_guidance,"albany sees fy19 adj. eps $3.05-$3.35 vs $3.48, sales $1.05b-$1.08b vs $1.07b est."
company_guidance,albemarle corp sees fy20 adj. eps $4.80-$5.10; sales $3.48b-$3.53b
company_guidance,"albemarle cuts prelim. fy19 adj. eps from $6.25-$6.65 to $6.00-$6.20 vs $6.27 est., cuts prelim. sales guidance from $3.65b-$3.85b to $3.6b-$3.7b vs $3.63b est."
company_guidance,"albemarle guides 2015 50% of sales outside northam, west europe; on track for long-term growth targets; 2015 target organic sales $3.8-4.4b; 2015 target organic eps $6.75-7.75"
company_guidance,albemarle raises fy17 outlook
company_guidance,albemarle raises fy18 guidance
company_guidance,albemarle raises fy19 adj. eps guidance from $6.10-$6.50 to $6.25-$6.65 vs $6.18 estimate
company_guidance,"albemarle reaffirms fy18 guidance of adj. eps $5.30-$5.50 vs $5.39 est., sales $3.3b-$3.5b vs $3.38b est."
company_guidance,"albemarle reaffirms fy19 guidance; sees adj. eps $6.10-$6.50 vs $6.21 est., sales $3.65b-$3.85b vs $3.68b est."
company_guidance,"albemarle sees 2015 eps $3.15 to $3.70 vs $3.84, sales $3.7b to $4b vs $3.66b"
company_guidance,albemarle sees 2015 eps $3.65 to $4.05 vs $3.86 est
company_guidance,albemarle sees fy16 eps $3.45-$3.80 vs. est. $3.90
company_guidance,"albemarle sees fy16 rev. $2.6-$2.7b vs. est. $2.68b, eps narrowed from $3.35-$3.60 to $3.45-$3.55"
company_guidance,"albemarle sees fy17 sales $2.8-$2.95b vs. $2.78b est., eps $4.00-$4.25 vs. $4.07 est."
company_guidance,"albemarle sees fy18 eps $5.10-$5.40 vs $5.17 est., sales $3.2b-$3.4b vs $3.3b est."
company_guidance,albemarle sees fy19 adj eps $6.10-$6.50 vs $6.14 estimate
company_guidance,albemarle sees fy19 adj. eps 6.00-$6.20 vs $6.12 est.
company_guidance,albemarle sees prelim. adj. q3 eps $1.53 vs $1.62 est.
company_guidance,albemarle sees q1 adj. eps $1.20-$1.25 vs $1.33 estimate
company_guidance,albemarle sees q2 eps $1.08-1.11 vs $0.99 est
corporate_action,albemarle to raises prices of clear brine fluids by 15%
company_guidance,"albermarle sees fy18 adj. eps $5-$5.40 vs $5.14 est., sales $3.2b-$3.4b vs $3.24b est."
analyst_action,"albert fried &amp; co. maintains market perform on omnicom group inc., raises pt to $60.00"
analyst_action,"albert fried &amp; co. maintains market perform on pandora media, inc., raises pt to $23.00"
analyst_action,"albert fried &amp; co. maintains overweight on cablevision systems corporation, raises pt to $23.00"
analyst_action,"albert fried &amp; co. maintains overweight on live nation entertainment, inc., raises pt to $18.00"
analyst_action,"albert fried &amp; co. maintains overweight on mdc partners inc., raises pt to $35.00"
analyst_action,"albert fried &amp; co. maintains overweight on pandora media, raises pt to $24.00"
analyst_action,"albert fried &amp; co. maintains overweight on the madison square garden company, raises pt to $53.00"
analyst_action,"albert fried &amp; co. maintains overweight on the madison square garden company, raises pt to $65.00"
analyst_action,"albert fried &amp; co. upgrades live nation entertainment to overweight, raises pt to $34.00"
analyst_action,"albert fried &amp; co. upgrades pandora media to overweight, raises pt to $20.00"
analyst_action,"albert fried &amp; co. upgrades pandora media, inc. to overweight, raises pt to $18.00"
analyst_action,"albert fried and company maintains blucora at market perform, raises pt from $14 to $17"
analyst_action,"albert fried and company maintains blucora at market perform, raises pt from $17 to $19"
analyst_action,"albert fried and company maintains cablevision systems at overweight, raises pt from $19 to $20"
company_guidance,alcoa cuts fy18 adj. ebitda guidance from $3.5b-$3.7b to $3b-$3.2b
redundant_meaningless,alcoa earnings preview: lower fourth-quarter revenue expected
company_guidance,alcoa guides automotive yoy 3-5%; aerospace demand to grow in 2h
redundant_meaningless,"alcoa misses wall st 1q revenue target, drops in after-hours trade (aa)"
company_guidance,alcoa narrows fy18 adj. ebitda guidance from $3b-$3.2b to $3.1b-$3.2b
earnings,"alcoa posts upbeat q1 earnings, but revenue misses views"
company_guidance,alcoa raises its chinese growth forecast to 17%
redundant_meaningless,"alcoa tanks off revenue miss, challenging outlook: a technical look"
redundant_meaningless,"alcoa's profit rises, revenue grows"
redundant_meaningless,"alcoa's q3 results, 2016 guidance look disappointing"
company_guidance,alere guides fy eps $2.30-2.45 vs $2.52 est
company_guidance,alere guides q4 us panel sales $6m-8m; guides q4 revenue $4m-5m for alere triage tox line
earnings,"alere q1 eps ($0.18) vs $0.56 est, revenue $575.48m vs $602.64m est"
earnings,"alere q4 eps ($0.28) vs $0.58 est, revenue $623.3m vs $628.5m est, may not compare"
company_guidance,"alere sees fy15 adj. eps $2.20-$2.25 vs $2.42 est., sales $2.48b-$2.5b vs $2.57b est."
company_guidance,alexander & baldwin sees fy20 maintenance cap ex guidance of $16m-$20m
company_guidance,"alexander & baldwin sees q3 adj. eps $0.40-$0.42, sales $79m-$81m; cuts fy18 adj. eps from $1.62-$1.68 to $1.51-$1.59, reaffirms $302.5m-$312.5m"
company_guidance,alexandria real estate equities raises offer from $350m to $500m
company_guidance,"alexandria real estate equities sees fy18 affo/share $6.52-$6.62, eps $2.88-$2.98 vs $2.32 est."
company_guidance,"alexandria real estate equities, inc. narrows fy2013 ffo guidance from $4.35-4.45 to $4.38-4.42 vs $4.34 est"
company_guidance,"alexandria real estate equities, inc. narrows fy2013 ffo guidance from $4.44-4.64 to $4.46-4.62 vs $4.52 est"
company_guidance,alexandria real estate narrows fy 2017 guidance from $5.90-$6.10 to $5.97-$6.07 est
company_guidance,alexandria real estate raises qtr. from $0.56 to $0.60/share
company_guidance,"alexion cuts fy20 adj. eps guidance from $10.65-$10.85 to $10.45-$10.75 vs $11.01 est., cuts sales guidance from $5.50b-$5.56b to $5.23b-$5.33b vs $5.6b est."
company_guidance,alexion pharma raises guidance
company_guidance,alexion pharmaceuticals raises fy19 adj. eps guidance from $9.65-$9.85 to $10.25-$10.40 vs $9.94 est.; raises sales guidance from $4.75b-$4.80b to $4.86b-$4.89b vs $4.85b est.
company_guidance,alexion pharmaceuticals sees fy2019 eps $9.10-9.30 vs $8.73 est; sees sales $4.63b-4.70b vs $4.75b est
company_guidance,"alexion pharmaceuticals, inc raises fy19 adj. eps guidance from $9.10-$9.30 to $9.25-$9.45 vs $9.31 est., raises sales guidance from $4.625b-$4.70b to $4.625b-$4.75b vs $4.75b est."
earnings,"alexion q3 eps $1.08 vs $1.17 est, revenue $799m vs $787m est"
earnings,"alexion q4 eps $1.26 vs $1.25 est, revenue $831m vs $837m est"
company_guidance,alexion raises fy17 adj. eps outlook
company_guidance,alexion raises fy18 guidance
company_guidance,"alexion raises fy18 guidance: adj. eps from $7-$7.15 to $7.45-$7.60 vs $7.24 estimate, sales from $3.98b-$4.01b to $4.02b-$4.05b vs $4.04b est."
company_guidance,"alexion raises fy19 guidance: adj. eps from $9.25-$9.45 to $9.65-$9.85 vs $9.44 estimate, sales from $4.675b-$4.75b to $4.75b-$4.8b vs $4.78b est."
company_guidance,"alexion sees fy 2017 eps $5.00 to $5.25 vs $5.54 est, revenue $3.4b to $3.5b vs $3.5b est"
company_guidance,"alexion sees fy eps $4.50 to $4.65 est, revenue $3.05b to $3.10b est"
company_guidance,"alexion sees fy18 adj. eps $6.60 to $6.80 vs $7.01 est., sales $3.85b to $3.95b vs $4.07b est."
company_guidance,"alexion sees fy20 adj. eps $10.65-$10.85 vs $11.37 est, sales $5.5b-$5.56b vs $5.64b"
redundant_meaningless,"alexion speeds launch, ups guidance - analyst blog"
redundant_meaningless,alibaba + 6.9% premarket @ $134.30 on guidance of 45%-49% revenue growth of in fy2018
company_guidance,alibaba cfo maggie wu sees revenue growth of 45%-49% in fy2018
company_guidance,alibaba group increases fy18 rev. guidance from 45-49% to 49-53%
redundant_meaningless,alibaba hits new all-time high after huge revenue growth projections
earnings,"alibaba q2 eps $0.57 vs $0.54 est, revenue $3.49b vs $3.35b est"
earnings,"alibaba q3 eps $0.99 vs $0.93, revenue $5.33b vs $5.08b est"
earnings,"alibaba q3 eps $1.30 vs $1.13 est, revenue $7.67b vs $7.33b est"
earnings,"alibaba q4 eps $0.47 vs $0.60 est, revenue $3.75b vs $3.59b est"
earnings,"alibaba q4 revenue rises 51% year-over-year, trades higher despite trade tensions"
redundant_meaningless,alibaba soars on solid revenue outlook: 6 etfs to tap
corporate_action,alibaba's ant financial raises funding target to $12b+
redundant_meaningless,"alibaba's revenue to grow faster than gmv, analyst says"
earnings,"alico q4 eps ($0.25), revenue $13m"
earnings,alico q4 loss/share $(0.37); revenue $6.959m
company_guidance,align guides q3 eps $0.26-0.28 vs $0.29 est
company_guidance,"align sees q1 eps $0.94-$0.98 vs $0.88 est., sales $400-$410m vs $395m est."
company_guidance,align tech guides q2 eps $0.26-0.28 vs $0.24 est
corporate_action,"align tech promotes puch to vp, north america; to cut 25 jobs, sees q4 sales, eps at low end of range"
company_guidance,"align tech sees q1 eps $0.37-$0.40 vs $0.45 est., sales $232.5m-$236.6m vs $226m est."
company_guidance,"align tech sees q4 eps $1.10-$1.15 vs $1.33 estimate, sales $505m-$515m vs $545m est."
company_guidance,align technology guides q1 eps $0.19-0.21 vs $0.22 est
company_guidance,align technology guides q1 eps $0.19-0.21 vs $0.22 est; revenues $125.40-127.90m vs $129.30m est
company_guidance,align technology guides q3 revenues $118m-$123m vs $113.6m est
company_guidance,"align technology sees q1 eps $0.78-$0.84 may not compare to $1.19 est., sales $525m-$535m vs $529.33m est."
company_guidance,"align technology sees q2 eps $1.02-$1.06 vs $1.03 est., sales $460m-$470m vs $453.14m est."
