type,title
other_pos_news,Cerevel Therapeutics Announces Positive Topline Results for CVL-231 in Phase 1b Clinical Trial in Patients with Schizophrenia
other_pos_news,--Morgan Stanley Starts Cerevel Therapeutics Holdings at Overweight With $27 Price Target
other_pos_news,Exela Technologies adds Robotic Process Automation (RPA) platform for a large health insurance company
other_pos_news,"Exela Technologies Reports Rollout Of EON, Co.'s Robotic Process Automation Platform For An Unnamed Large Health Insurance Co., No Terms Disclosed"
other_pos_news,WaveMax to Implement the World's First Shared WiFi6 Network
other_pos_news,Cuentas to Roll Out WaveMax's Shared WiFi6 Network in New York City-Tristate Area; Shares Surge
other_pos_news,"Bridgeline Digital Reports Its Partner Network Has Won 20+ Site Search Licenses In Q3 For Its Celebros, HawkSearch"
other_pos_news,Footwear brand chooses Celebros by Bridgeline to Power eCommerce Strategy
other_pos_news,Ocuphire Announces VEGA-1 Phase 2 Trial In Presbyopia Meets Primary And Secondary Endpoints
other_pos_news,Ocuphire Says Phase 2 Trial of Presbyopia Combo Medication Meets Primary Endpoint; Shares Surge Pre-Bell
other_pos_news,Ocuphire Pharma Stock Surges After Nyxol Combo Treatment Meets Study Endpoints In Presbyopic Patients
other_pos_news,Big Y and Bonum Health(TM) (TRxADE HEALTH Company) to deploy New Telemedicine Program
other_pos_news,BZ: Alterity Therapeutics shares are trading higher after the company announced it was granted a new US patent targeting major neurodegenerative diseases including Alzheimer's and Parkinson's.
other_pos_news,Alterity Therapeutics Wins New US Patent Addressing Neurodegenerative Diseases
other_pos_news,Individual Investors Target Carver Bancorp as Next Short-Squeeze Target
other_pos_news,BZ: Carver Bancorp shares are trading higher as traders play the stock as a high-short interest name.
other_pos_news,Galectin Therapeutics Announces Positive Top-Line Results from a Phase 1b Clinical Trial Extension of Belapectin in Combination with KEYTRUDA® in Advanced Metastatic Melanoma and Head and Neck Cancer
other_pos_news,"Galectin Therapeutics Reports Positive Data From Trial of Belapectin, Keytruda Combination; Shares Soar Pre-Bell"
other_pos_news,Galectin Therapeutics Shares Rise 37% on Positive Data for Cancer Treatment
cs_offering,Exela Technologies: $85 Million in Proceeds Raised in At-the-Market Equity Program
cs_offering,Exela Raises $85 Million Under At-The-Market Equity Program
cs_offering,Cerevel Therapeutics Raises $350M Via Equity Issued At $25/Share
cs_offering,Cerevel Therapeutics Prices Common Stock Offering at $25 Per Share
cs_offering,BSQUARE Raises Private Offer To Sell Shares To $50M From $25M
cs_offering,Cerevel Therapeutics to Sell 14 Million Shares in Public Offering
cs_offering,Exela Technologies Announces Completion of $100 million at-the-market Program and Enters into New $150 Million Program
cs_offering,BZ: Exela Technologies Announces $150M At-The Market Equity Offering
cs_offering,"Exela Closes $100 Million At-The-Market Equity Program, Lines Up New $150 Million Program; Shares Climb"
cs_offering,*Eco Wave Power Global AB Announces Closing of $9.2M Public Offering
cs_offering,"Eco Wave Power Global AB (publ) Announces Closing of $9.2 Million Public Offering, which Includes Full Exercise of the Underwriter's Over-Allotment Option, and Nasdaq Listing"
cs_offering,Public Offering
cs_offering,Equity Offering
cs_offering,At-The-Market
cs_offering,Private Offer
cs_offering,Bsquare Corporation On Jul. 6 Entered Side Letter With B. Riley Securities In Connection With At Market Issuance Sales Agreement Dated Apr. 7; Letter Confirmed Understanding That Agreement Applies To Issuance And Sale Of Shares Up To $50M
cs_offering,BSQUARE Raises Private Offer To Sell Shares To $50M From $25M
warrant_exercise,Bridgeline Receives More than $2.5M in Warrant Exercises
warrant_exercise,Bridgeline Digital Gets $2.5 Million From Exercise of Warrants Issued in 2019
warrant_exercise,Warrant Exercise
analyst_downgrade,Raymond James Downgrades Shenandoah To Underperform From Market Perform
analyst_downgrade,Raymond James Downgrades Cerence To Market Perform From Outperform As It Falls Short Of Analyst Price Target
analyst_downgrade,Goldman Sachs Downgrades Limelight Networks To Sell
analyst_downgrade,"BofA Downgrades Fortis On Premium Valuation, Near-Term Pressures"
analyst_downgrade,#NAME?
analyst_downgrade,#NAME?
analyst_downgrade,#NAME?
pt_decrease,"--RBC Cuts Price Target on Aprea Therapeutics to $7 From $8, Maintains Sector Perform, Speculative Risk"
pt_decrease,"RBC Capital Maintains Sector Perform on Aprea Therapeutics, Lowers Price Target to $8"
pt_decrease,"--Analyst Actions: RBC Cuts Price Target on Aprea Therapeutics to $8 From $10, Maintains Sector Perform-Speculative Risk Rating"
earnings_upset,"BSQUARE Q1 EPS $(0.07) Down From $(0.04) YoY, Sales $9.97M Down From $16.73M YoY"
earnings_upset,Digital Brands Group 1Q Loss/Shr $4.55 >DBGI
earnings_upset,"Entera Bio Q1 EPS $(0.43) Down From $(0.16) YoY, Sales $157.00K Up From $42.00K YoY"
earnings_upset,Aprea Therapeutics Q1 EPS $(0.46) Down From $(0.45) YoY
earnings_upset,*Ra Medical Systems 1Q Loss/Shr $2.48 >RMED
reverse_split,Reverse Split
delisting_notice,Luckin Coffee Inc  said on Tuesday that Nasdaq Inc  has given it notice that it plans to delist it from the  U.S. stock exchange
delisting_notice,Troubled hospital operator NMC Health  said on Monday it requested its shares be delisted from the London Stock Exchange after they were suspended two months ago.
other_neg_news,"JPMorgan Still Bearish On Bitcoin, Expects Decline To $25,000"
other_neg_news,Why This Analyst Sees Downside to New Jersey Resources' Valuation
other_neg_news,"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs"
other_neg_news,*Bsquare: Board Chairperson Andrew Harries Plans to Resign From the Bd of Directors >BSQR
other_neg_news,SPI Energy Issues $4.21 Million 10% Convertible Promissory Note with $20 per Share Conversion Price
no_news,BZ: Clearside Biomedical shares are trading higher. Not seeing any company-specific news to justify the price action.
no_news,Not seeing any company-specific news 
no_news,BZ: Bridgeline Digital shares are trading higher. Not seeing any company-specific news to justify the price action in the low-float stock.
no_news,BZ: Orbsat shares are trading higher on abnormally-high volume. Not seeing any company-specific news to justify the price action in the low-float stock.
no_news,BZ: Carver Bancorp Shares Halted On Circuit Breaker To Upside; Up 83%
no_news,"BZ: Carver Bancorp Shares Resume Trading, Continue Higher; Up 125%"
no_news,Halted On Circuit
no_news,Resumed Traded
